,descr
,Mutual Trust Bank
,Agrani Bank
,Al-Arafah Islami Bank
,AB Bank
,Bangladesh Bank
,Bangladesh Commerce Bank
,Bangladesh Krishi Bank
,Bangladesh Samabaya Bank
,Bangladesh Development Bank
,Basic Bank
,BRAC Bank
,Bank Al-Falah
,Bank Asia
,CITI Bank
,Commercial Bank of Cyclon
,Dhaka Bank
,Dutch-Bangla Bank
,Eastern Bank
,EXIM Bank
,First Security Islami Bank
,Habib Bank
,HongKong & Shanghai Banking Corp
,IFIC Bank
,Islami Bank Bangladesh
,Jamuna Bank
,Janata Bank
,Mercantile Bank
,National Bank
,National Bank of Pakistan
,National Credit & Commerce Bank
,One Bank
,Prime Bank
,Pubali Bank
,Rajshahi Krishi Unnayan bank
,Rupali Bank
,Shahjalal Islami Bank
,Social Islami Bank
,Sonali Bank
,SouthEast bank
,Standard Bank
,Standard Chartered Bank
,State Bank of India
,The City Bank
,ICB Islamic Bank
,The Premier Bank
,Trust Bank
,United Commercial Bank
,Uttara Bank
,Woori Bank
,NRB Commercial Bank
,Union Bank
,SBAC Bank
,Meghna Bank
,The Farmers Bank
,Midland Bank
,NRB Bank
,Modhumoti Bank
,NRB Global Bank
,Shimanto Bank